"","farm","date","visit","genus","row_cover","sf_nsfcut_border","cut_border","sum_inflr","log.sum_genus_inflr","tot_sf_nsfcut_border_inflr","log.sum_sf_nsf_border_inflr","tot_cut_or_border_inflr","log.sum_cutborder_inflr","tot_ast_inflr","log.sum_ast_inflr"
"1","GOLO","7/26/2021",1,"ageratum","row","nsfcut","cut",524.4,2.71966268301805,1033.35,3.01424744380783,1058.35,3.02462931413766,1461.55,3.1648136772731
"2","GOLO","7/26/2021",1,"centaurea","row","nsfcut","cut",35,1.54406804435028,1033.35,3.01424744380783,1058.35,3.02462931413766,1461.55,3.1648136772731
"3","GOLO","7/26/2021",1,"cosmos","row","nsfcut","cut",11,1.04139268515823,1033.35,3.01424744380783,1058.35,3.02462931413766,1461.55,3.1648136772731
"4","GOLO","7/26/2021",1,"dahlia","row","nsfcut","cut",16,1.20411998265592,1033.35,3.01424744380783,1058.35,3.02462931413766,1461.55,3.1648136772731
"5","GOLO","7/26/2021",1,"eutrochium","row","border","border",403.2,2.60552052343747,403.2,2.60552052343747,403.2,2.60552052343747,1461.55,3.1648136772731
"6","GOLO","7/26/2021",1,"helianthus","row","sf","cut",25,1.39794000867204,25,1.39794000867204,1058.35,3.02462931413766,1461.55,3.1648136772731
"7","GOLO","7/26/2021",1,"zinnia","row","nsfcut","cut",446.95,2.65025894161369,1033.35,3.01424744380783,1058.35,3.02462931413766,1461.55,3.1648136772731
"8","GOLO","8/11/2021",2,"ageratum","row","nsfcut","cut",583.1,2.76574304142104,1592.1,3.20197034234905,1626.1,3.21114724981449,2160.7,3.33459447193228
"9","GOLO","8/11/2021",2,"centaurea","row","nsfcut","cut",244.8,2.38881141347352,1592.1,3.20197034234905,1626.1,3.21114724981449,2160.7,3.33459447193228
"10","GOLO","8/11/2021",2,"cosmos","row","nsfcut","cut",26,1.41497334797082,1592.1,3.20197034234905,1626.1,3.21114724981449,2160.7,3.33459447193228
"11","GOLO","8/11/2021",2,"dahlia","row","nsfcut","cut",66,1.81954393554187,1592.1,3.20197034234905,1626.1,3.21114724981449,2160.7,3.33459447193228
"12","GOLO","8/11/2021",2,"eutrochium","cover","border","border",276,2.44090908206522,534.6,2.72802895442052,534.6,2.72802895442052,2160.7,3.33459447193228
"13","GOLO","8/11/2021",2,"eutrochium","row","border","border",258.6,2.41262852054438,534.6,2.72802895442052,534.6,2.72802895442052,2160.7,3.33459447193228
"14","GOLO","8/11/2021",2,"helianthus","row","sf","cut",34,1.53147891704226,34,1.53147891704226,1626.1,3.21114724981449,2160.7,3.33459447193228
"15","GOLO","8/11/2021",2,"zinnia","row","nsfcut","cut",672.2,2.82749850813346,1592.1,3.20197034234905,1626.1,3.21114724981449,2160.7,3.33459447193228
"16","GOLO","8/18/2021",3,"ageratum","row","nsfcut","cut",739.3,2.86882070619752,2326.5,3.36670305686929,2389.5,3.37830703485681,2742.5,3.43814663624675
"17","GOLO","8/18/2021",3,"centaurea","row","nsfcut","cut",256,2.40823996531185,2326.5,3.36670305686929,2389.5,3.37830703485681,2742.5,3.43814663624675
"18","GOLO","8/18/2021",3,"cosmos","row","nsfcut","cut",67,1.82607480270083,2326.5,3.36670305686929,2389.5,3.37830703485681,2742.5,3.43814663624675
"19","GOLO","8/18/2021",3,"dahlia","row","nsfcut","cut",70,1.84509804001426,2326.5,3.36670305686929,2389.5,3.37830703485681,2742.5,3.43814663624675
"20","GOLO","8/18/2021",3,"erigeron","row","nsfcut","cut",264,2.42160392686983,2326.5,3.36670305686929,2389.5,3.37830703485681,2742.5,3.43814663624675
"21","GOLO","8/18/2021",3,"eutrochium","row","border","border",353,2.54777470538782,353,2.54777470538782,353,2.54777470538782,2742.5,3.43814663624675
"22","GOLO","8/18/2021",3,"helianthus","row","sf","cut",63,1.79934054945358,63,1.79934054945358,2389.5,3.37830703485681,2742.5,3.43814663624675
"23","GOLO","8/18/2021",3,"zinnia","row","nsfcut","cut",930.2,2.9685763351755,2326.5,3.36670305686929,2389.5,3.37830703485681,2742.5,3.43814663624675
"24","LASA","8/12/2021",2,"ageratum","row","nsfcut","cut",416,2.61909333062674,5713.3,3.75688702905335,6007.3,3.77867932082554,20719.92222,4.31638812078902
"25","LASA","8/12/2021",2,"aster","row","nsfcut","cut",1592.8,3.20216124701935,5713.3,3.75688702905335,6007.3,3.77867932082554,20719.92222,4.31638812078902
"26","LASA","8/12/2021",2,"dahlia","row","nsfcut","cut",1453.5,3.16241503610645,5713.3,3.75688702905335,6007.3,3.77867932082554,20719.92222,4.31638812078902
"27","LASA","8/12/2021",2,"helianthus","row","sf","cut",294,2.46834733041216,294,2.46834733041216,6007.3,3.77867932082554,20719.92222,4.31638812078902
